name,mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,mean9,mean10,mean11,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11
mizuo1,169670.65789473685,53803.34210526316,10058.447368421053,10512.578947368422,6572.368421052632,4682.815789473684,1995.1842105263158,1369.7894736842106,17084.947368421053,6678,1369.7894736842106,211451.69091921087,72744.57612093526,10509.476825321364,12399.894026778868,9207.06645497746,4592.083175108996,2797.912763916618,3042.6080671712402,18375.76347994592,6888.978638681537,3042.6080671712402
mizuo2,182656.23684210525,59320.78947368421,20121.657894736843,18897.973684210527,8886,4553.5526315789475,1804.8947368421052,759.3421052631579,27783.973684210527,6358.4473684210525,759.3421052631579,208250.95082305642,36039.47350304567,24401.940425729645,18001.958005328845,6378.592325320029,4127.859702183946,1560.571619116967,550.065846599812,22263.783631821672,5447.2656766944165,550.065846599812
mizuo3,204003.15789473685,73688.47368421052,23005.5,18610.736842105263,11398.657894736842,6455.526315789473,1759.3947368421052,1170.2105263157894,30009.394736842107,8214.921052631578,1170.2105263157894,247159.3885581706,74178.76199132133,31245.035338476282,20141.66064820848,14164.243709307186,7136.232998382425,1537.6275221308977,1177.9402441705458,32016.72023666078,8209.877771324193,1177.9402441705458
mizuo4,175915.86842105264,81812.84210526316,18446.605263157893,17809.973684210527,10926.078947368422,5287.131578947368,2482.657894736842,1324.5526315789473,28736.052631578947,7769.789473684211,1324.5526315789473,237456.86041559227,97277.28071249307,15449.435952128468,14969.096517557067,11352.125955269066,5694.184351604311,2274.6871881682146,1440.1151579934667,22587.961630674177,7425.559844773339,1440.1151579934667
mizuo5,135055.23684210525,70471.02631578948,19687.157894736843,19930,8993.394736842105,4539.815789473684,2061.157894736842,1203.9736842105262,28923.394736842107,6600.973684210527,1203.9736842105262,90217.56209718646,55066.86718817732,21205.010550545674,16332.639563318084,7560.296737908867,3577.0064803971663,1479.921219921694,1016.116147703238,21408.474948191444,4810.0683794616625,1016.116147703238
mukai1,101843.84210526316,41451.65789473684,9904.28947368421,12754,7571.184210526316,5490.4473684210525,2962.3947368421054,2951.684210526316,20325.184210526317,8452.842105263158,2951.684210526316,152506.41635121737,23847.36702588306,9813.748095369216,9799.861776683652,5445.8534049469,3758.1266798721354,2062.1193178438857,2868.422481409591,13398.345021239442,5252.7610510359,2868.422481409591
mukai2,247913.02631578947,87072.42105263157,15990.421052631578,14006.052631578947,11309.71052631579,7978.578947368421,5624.473684210527,2669.7894736842104,25315.763157894737,13603.052631578947,2669.7894736842104,410066.7195865164,159899.63515504796,11557.519638362537,13102.032921704953,15242.830148713227,7551.527233583733,5318.091608328183,2145.8093450146857,23111.39920202766,12289.258591716265,2145.8093450146857
mukai3,224115.73684210525,77476.81578947368,25215.842105263157,17172.315789473683,7995.394736842105,8039.078947368421,5716.868421052632,3637.2368421052633,25167.71052631579,13755.947368421053,3637.2368421052633,447823.6225605417,100318.55763355347,52949.8616794209,21025.073427627285,7386.303671196452,9683.156136143072,8140.776958170944,5764.606342675193,25040.217882972418,17577.598353926707,5764.606342675193
mukai4,289462.9210526316,69267.81578947368,16356.71052631579,12247.973684210527,11262.631578947368,6975.315789473684,4906.868421052632,3102.4210526315787,23510.605263157893,11882.184210526315,3102.4210526315787,367810.0704999496,88827.59008381149,12465.322361419288,10437.368067837697,10338.910289267873,4565.731284628444,3209.3411044624477,2202.5818777012214,17858.081513538422,7042.5703324226115,2202.5818777012214
mukai5,131182.31578947368,55659.47368421053,13853.447368421053,13613.763157894737,9968.947368421053,5567.3421052631575,3768.9210526315787,1930.657894736842,23582.71052631579,9336.263157894737,1930.657894736842,130406.47996696316,37522.7704451695,21958.57783202557,9116.719534760558,8704.45909304496,6086.142734356794,4950.930860808314,2847.745888614692,14931.130742790725,10823.439862495828,2847.745888614692
iga2,154142.84210526315,50254.92105263158,23421.763157894737,18252.28947368421,14334.105263157895,9755.684210526315,4842.4473684210525,3027.6315789473683,32586.394736842107,14598.131578947368,3027.6315789473683,222565.68437980002,48334.31408668803,27659.768259707962,16026.753660360826,8207.54098628519,5715.735805214745,2662.610647044782,1883.9076469298234,20264.607087156033,7454.433859583,1883.9076469298234
iga1,138115.02631578947,44744.65789473684,20133.13157894737,14485.815789473685,15360.157894736842,10292.263157894737,4152.763157894737,2880.1315789473683,29845.973684210527,14445.026315789473,2880.1315789473683,145320.91431153816,43983.505765036105,24824.89931094336,14571.492046666548,13360.068414035191,6356.66579552607,3001.1177867957144,2647.1939679100983,24816.560129421687,8713.154179886029,2647.1939679100983
iga3,182898.5,77470.31578947368,18283.815789473683,24014.947368421053,19824.947368421053,9977.605263157895,4668.9473684210525,2172.2631578947367,43839.89473684211,14646.552631578947,2172.2631578947367,192621.47139809153,74937.76274458316,13013.630348003877,23556.061198930438,13235.32975340775,6525.301080125582,3130.5094923095894,1080.6184555787468,32684.47856784742,8054.755864500401,1080.6184555787468
iga4,129937.94736842105,40642.65789473684,17238.973684210527,16358.21052631579,13742.105263157895,7674.789473684211,3610.815789473684,2121.815789473684,30100.315789473683,11285.605263157895,2121.815789473684,202847.99447589315,32297.812821724856,12456.641009363222,14348.207249390709,9684.020113974726,5041.165415372953,2424.913724512615,1457.1645836902635,21652.323534128915,6664.859601077697,1457.1645836902635
iga5,288039.5789473684,81814.15789473684,19183.526315789473,19925.815789473683,18327.552631578947,10292.605263157895,4826.5,3347.4473684210525,38253.36842105263,15119.105263157895,3347.4473684210525,460090.9418840693,69991.41341002453,12647.116685625773,17514.577690500926,11065.27363729802,4978.220542044663,2903.0226692916217,2076.131178004547,24928.920430127622,6534.915844460648,2076.131178004547
hiro1,257542.52631578947,54158.0,14840.5,13464.71052631579,11793.763157894737,10777.842105263158,5820.710526315789,4590.8421052631575,25258.473684210527,16598.552631578947,4590.8421052631575,387154.632960563,64200.79854192666,18109.485743156234,12079.537118414446,9304.089682087488,8916.626145419272,4547.532019550446,3315.9631809135813,17885.62411214343,12315.175404647305,3315.9631809135813
hiro2,63256.76315789474,29704.28947368421,9626.131578947368,9455.684210526315,8379.052631578947,7695.631578947368,4195.184210526316,2809.7894736842104,17834.736842105263,11890.815789473685,2809.7894736842104,54709.43478117357,17304.80074081649,7284.70496881562,7549.1393413430815,5751.56740626491,4101.533541321065,2449.1042493044715,1635.956346057249,11134.727791166675,5397.687969254513,1635.956346057249
hiro3,61023.86842105263,32215.394736842107,8763.184210526315,9465.0,7895.0526315789475,6333.3421052631575,3480.9210526315787,2687.2105263157896,17360.052631578947,9814.263157894737,2687.2105263157896,54129.74752105549,23173.285601198404,7233.081977077206,6771.547992189549,4818.072108150227,2711.9336301876815,1811.5882008770056,1383.646120674509,10196.509557447816,3641.2353650072528,1383.646120674509
hiro4,73619.57894736843,42267.68421052631,10859.368421052632,11693.631578947368,10605.342105263158,7778.263157894737,4116.3421052631575,2390.342105263158,22298.973684210527,11894.605263157895,2390.342105263158,85350.27000655087,35670.04548276302,8040.903285933714,8030.134259941549,6158.146817433736,3831.7379984339555,2518.053250516691,1340.192941261106,11407.029253668295,5881.049675997581,1340.192941261106
hiro5,159546.97368421053,58349.39473684211,16340.5,18219.0,12569.631578947368,9140.973684210527,5606.5,2811.2368421052633,30788.63157894737,14747.473684210527,2811.2368421052633,334991.68978235294,72404.72919983944,18242.497321177216,37907.069866909216,15158.235755940957,9660.473420585235,8452.618649831169,4284.928467340102,51731.05759925995,17862.3698532872,4284.928467340102
tate1,1099557.2894736843,277727.2105263158,53597.60526315789,42101.47368421053,33960.78947368421,31610.605263157893,19102.63157894737,16480.78947368421,76062.26315789473,50713.23684210526,16480.78947368421,743968.4155005969,380771.78506887116,58857.26284278079,54142.445435378984,44917.4177979978,35354.09309925088,16388.17663731523,19315.071944438536,84683.32056074505,48586.05414619032,19315.071944438536
tate2,652091.0,175188.26315789475,62528.92105263158,50610.15789473684,44176.68421052631,25318.63157894737,10039.052631578947,10147.184210526315,94786.84210526316,35357.68421052631,10147.184210526315,699664.2319253458,185327.53182032873,112667.22200832289,106615.88824781138,88050.28270916245,40490.792749659086,15742.900750810233,14841.413886496022,185912.2255906812,54764.2661130438,14841.413886496022
tate3,515174.94736842107,100460.23684210527,22471.763157894737,23809.026315789473,14659.394736842105,14342.736842105263,7686.421052631579,4473.026315789473,38468.42105263158,22029.157894736843,4473.026315789473,482185.92661244527,124980.29679375236,24447.50116757626,38894.14515910077,15095.446004707015,13835.243070704784,7602.010847662467,4695.180252617639,49726.638425883,19703.133466434265,4695.180252617639
tate4,363626.94736842107,105293.28947368421,25092.71052631579,21373.42105263158,17654.36842105263,18738.763157894737,15120.815789473685,8714.631578947368,39027.78947368421,33859.57894736842,8714.631578947368,336461.02820557856,122631.61776722052,26436.955584448446,20000.45616273418,17595.33001353821,13416.124409856518,12807.607611463756,7695.073315956785,33819.51752368189,24461.18358761336,7695.073315956785
tate5,336799.0789473684,92941.13157894737,22186.315789473683,24812.026315789473,14174.447368421053,13603.368421052632,6781.394736842105,4305.684210526316,38986.47368421053,20384.763157894737,4305.684210526316,348882.4292756562,89882.22506444376,22900.911559776352,24439.198706055075,9650.606061408427,10909.50178181496,6644.866449647916,4397.228362127451,28433.03000657107,16265.194103772004,4397.228362127451
tanaka1,1017100.1578947369,110873.13157894737,45063.07894736842,31027.36842105263,38468.23684210526,33026.07894736842,11480.236842105263,4172.763157894737,69495.6052631579,44506.31578947369,4172.763157894737,802034.8023052801,138096.95752092192,73159.18527552078,47879.58506416798,57134.73331310557,53082.579775776365,12650.204914991466,5290.950334666336,102532.1806493581,61768.34658971043,5290.950334666336
tanaka2,205969.1052631579,52201.10526315789,20933.052631578947,14042.921052631578,14693.894736842105,8756.921052631578,4873.210526315789,2830.0789473684213,28736.815789473683,13630.131578947368,2830.0789473684213,346364.1271597664,61704.61009638431,23590.008114439792,10322.886681599082,12443.702427098731,10026.926391581237,3230.7977274473055,2418.8047220147796,17785.749505322136,12199.634608788498,2418.8047220147796
tanaka3,83817.36842105263,32975.81578947369,13851.236842105263,12700.868421052632,10366.184210526315,6625.9473684210525,3860.0526315789475,2338.3947368421054,23067.052631578947,10486.0,2338.3947368421054,113106.32779692906,29446.952429085144,12629.110320863358,13981.535365148471,6863.051948296315,6152.72056191563,2383.6268688411565,1693.9747642977336,18476.2582421011,7194.908389746328,1693.9747642977336
tanaka4,349370.2631578947,78369.78947368421,22618.657894736843,19215.815789473683,17160.184210526317,13627.894736842105,8745.394736842105,4162.421052631579,36376.0,22373.28947368421,4162.421052631579,489433.83122815244,129621.00458932246,23516.302460965147,25479.22666951634,21651.444337205754,14658.82322732532,8590.060062100763,3999.785261548944,44613.43635403789,21682.07875898761,3999.785261548944
tanaka5,285648.5789473684,58045.86842105263,16648.5,15343.763157894737,12354.263157894737,12392.315789473685,7151.815789473684,3594.7631578947367,27698.026315789473,19544.13157894737,3594.7631578947367,558939.5113912564,103736.82155115089,18822.002468765393,16824.24855510361,9896.22335110513,12207.390835290731,6705.040628846891,4164.425084691893,24700.148137726283,18434.559933895118,4164.425084691893
den1,638762.2894736842,109310.86842105263,24935.815789473683,21271.57894736842,16086.842105263158,8521.184210526315,5199.368421052632,2444.3684210526317,37358.42105263158,13720.552631578947,2444.3684210526317,599232.421674196,123903.13709744379,28627.78030060575,22288.811272205116,15310.707167700297,7853.379985898338,4351.735427698584,2056.2337751214322,35043.510797767405,10597.934745921437,2056.2337751214322
den2,377773.7368421053,62972.34210526316,16025.947368421053,15496.473684210527,14195.736842105263,8649.342105263158,5018.026315789473,3483.2105263157896,29692.21052631579,13667.368421052632,3483.2105263157896,405128.2369308113,62483.060870538226,20175.528068413354,13094.844798696127,17567.432652023446,7653.718144509605,4585.847304403787,3556.817317400892,27075.565951375007,11629.341775329496,3556.817317400892
den3,242771.84210526315,49778.89473684211,14073.342105263158,13589.578947368422,8759.236842105263,6035.210526315789,2921.2105263157896,2042.7368421052631,22348.815789473683,8956.421052631578,2042.7368421052631,512723.92186682817,52591.70865950033,12868.019207723168,13533.549603682926,7876.408897976054,2931.770626824385,1954.1243853893761,1790.967302358238,19576.458853825945,4279.700854225918,1790.967302358238
den4,262814.7368421053,64802.84210526316,20395.07894736842,23817.736842105263,13708.394736842105,10036.842105263158,5931.5526315789475,3298.5263157894738,37526.13157894737,15968.394736842105,3298.5263157894738,346703.80199065147,45538.529209385066,17185.607608175753,17717.675326728942,10452.914800086483,7304.589691010482,3524.958795558866,3515.9825514269914,24668.596713199484,9567.03911062262,3515.9825514269914
den5,394204.63157894736,68016.81578947368,15378.105263157895,19164.36842105263,13060.868421052632,10216.421052631578,6525.973684210527,3605.6315789473683,32225.236842105263,16742.394736842107,3605.6315789473683,598498.4076716461,89376.67153647954,14457.23734763187,17414.104056045842,10248.25895912146,6821.840786580372,5736.171176182365,3501.49229405386,24849.646638845486,10512.821263729835,3501.49229405386
